identifier	molecular_weight
Br.CC(=O)c1sc(Nc2ccccn2)nc1C	314.21
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1	479.30
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12	461.36
Br.CCCCC/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1	434.40
Br.CCCCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	404.38
Br.CCCCCCCCCCCCN(C)C	294.32
Br.CCCCCCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O	510.51
Br.CCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O	454.41
Br.CCOC(=O)C/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1	450.36
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc(OC)cc2)s1	450.36
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc([N+](=O)[O-])cc2)s1	465.33
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	420.33
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	425.33
Br.COc1cc(OC)cc(N(CCP(=O)(O)O)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	550.35
Br.COc1ccc(-c2n/c(=N\CCO)sn2-c2ccccc2)cc1	408.32
Br.COc1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	455.38
Br.COc1ccc(-c2n/c(=N\c3ccccc3)sn2-c2ccccc2)cc1	440.37
Br.COc1ccc(-n2s/c(=N/CCO)nc2-c2ccccc2)cc1	408.32
Br.COc1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1	455.38
Br.COc1ccc(NC2=N[C@@H](CCN)CN2)cc1	315.22
Br.COc1ccc2cc(C3(O)CN(C)C4CCCCC4O3)ccc2c1	408.34
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1	490.20
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	411.30
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F	429.29
Br.Cc1ccc(=N)n(Cc2cccc(F)c2)c1	297.17
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1	425.33
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1	425.33
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12	425.33
Br.Cc1n/c(=N\Cc2cccnc2)sn1-c1ccccc1	363.28
Br.FC(F)(F)c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	493.35
Br.N=C(N)SCCCn1cc(C2=C(Nc3ccccc3)C(=O)NC2=O)c2ccccc21	500.42
Br.N=C(N)SCCc1ccc(Cl)cc1	295.63
Br.NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2	407.31
Br.O=[N+]([O-])c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1	470.35
Br.OC1(c2ccc(C3CCCCC3)cc2)CN2CCCCC2CO1	396.37
Br.OCC/N=c1\nc(-c2ccccc2)n(-c2cccc3ccccc23)s1	428.36
Br.OCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	378.30
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1	415.27
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1	415.27
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1	397.28
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1	415.27
Br.c1ccc(-c2n/c(=N\C3CCCCC3)sn2-c2ccccc2)cc1	416.39
Br.c1ccc(-c2n/c(=N\CCN3CCOCC3)sn2-c2ccccc2)cc1	447.40
Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2cccc3ccccc23)cc1	475.42
Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	425.36
Br.c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2cccc3ccccc23)cc1	475.42
Br.c1ccc(/N=c2/nc(-c3ccccc3)n(-c3ccccc3)s2)cc1	410.34
Br.c1ccc(COc2cccc3ccn(CC4=NCCN4)c23)cc1	386.29
BrC(Cn1ncc2c(N3CCCC3)ncnc21)c1ccccc1	372.27
BrC(Cn1ncc2c(N3CCCCC3)ncnc21)c1ccccc1	386.30
BrC(Cn1ncc2c(NCc3ccccc3)ncnc21)c1ccccc1	408.30
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1	334.22
Brc1c(Br)c(Br)c2[nH]c(N3C=NC4CCCCC43)nc2c1Br	555.89
Brc1c(Br)c(Br)c2[nH]c(N3CCC(C4CCNCC4)CC3)nc2c1Br	599.99
Brc1c(Br)c(Br)c2[nH]c(N3CCCC(CN4CCN(c5ccccn5)CC4)C3)nc2c1Br	692.09
Brc1c(Br)c(Br)c2[nH]c(N3CCCC3)nc2c1Br	502.83
Brc1c(Br)c(Br)c2[nH]c(N3CCCNCC3)nc2c1Br	531.87
Brc1c(Br)c(Br)c2[nH]c(N3CCN(CCN4CCCCC4)CC3)nc2c1Br	629.03
Brc1c(Br)c(Br)c2[nH]c(N3CCN4CCC3CC4)nc2c1Br	557.91
Brc1c(Br)c(Br)c2[nH]c(N3CCNCC3)nc2c1Br	517.85
Brc1c(Br)c(Br)c2[nH]c(N3CCNc4ccccc43)nc2c1Br	565.89
Brc1c(Br)c(Br)c2[nH]c(N3CCOCC3)nc2c1Br	518.83
Brc1c(Br)c(Br)c2[nH]c(NC3CCCCCCC3)nc2c1Br	558.94
Brc1c(Br)c(Br)c2[nH]c(NC3CCCNCC3)nc2c1Br	545.90
Brc1c(Br)c(Br)c2[nH]c(NCC3CCNCC3)nc2c1Br	545.90
Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCC3)nc2c1Br	559.93
Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCCC3)nc2c1Br	573.95
Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCOCC3)nc2c1Br	575.93
Brc1c(Br)c(Br)c2[nH]c(NCCCn3ccnc3)nc2c1Br	556.88
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCC3)nc2c1Br	545.90
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCCC3)nc2c1Br	559.93
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCN(c4ncccn4)CC3)nc2c1Br	638.99
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCOCC3)nc2c1Br	561.90
Brc1c(Br)c(Br)c2[nH]c(NCCc3ccccn3)nc2c1Br	553.88
Brc1c(Br)c(Br)c2[nH]c(NCc3ccccc3)nc2c1Br	538.86
Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N3CCCC3)nc2c1Br	587.94
Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N3CCCCC3)nc2c1Br	601.96
Brc1c(Br)c(Br)c2[nH]c(Nc3ccccc3)nc2c1Br	524.84
Brc1c(Br)c(Br)c2[nH]c(Nc3ccccn3)nc2c1Br	525.82
Brc1c(Br)c(Br)c2[nH]c(Nc3ccncc3)nc2c1Br	525.82
Brc1c(Br)c(Br)c2c(nc(N3CCNCC3)n2Cc2ccccc2)c1Br	607.97
Brc1cc(Br)cc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1	463.13
Brc1cc(Br)cc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)c1	463.13
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br	496.23
Brc1cc(CNc2ncc(Br)c(Nc3cc(C4CC4)[nH]n3)n2)on1	455.11
Brc1cc2c(NCc3ccccc3)ncnc2s1	320.22
Brc1cc2c(NCc3cccs3)ncnc2s1	326.24
Brc1cc2c(NCc3ccncc3)ncnc2s1	321.20
Brc1cc2c(Nc3ccccc3)ncnc2s1	306.19
Brc1ccc(-c2cc3[nH]ccnc-3n2)cc1	274.12
Brc1ccc(-c2cnc3nnc(Cc4c[nH]c5ccccc45)n3n2)cc1	405.26
Brc1ccc(-c2csc3nc(-c4ccncc4)nc(N4CCCNCC4)c23)cc1	466.41
Brc1ccc(-c2nc3ccc(Nc4ccnc5ccccc45)cc3[nH]2)cc1	415.29
Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1	416.28
Brc1ccc(-c2nn3c(-c4ccco4)nnc3s2)o1	337.16
Brc1ccc(-c2nnc(Cn3nnc4ccccc43)o2)cc1	356.18
Brc1ccc(/C=C/CNCCOc2cncc(/C=C/c3ccncc3)c2)cc1	436.35
Brc1ccc(Br)c(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1	464.21
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1	427.35
Brc1ccc(C2=NN(c3nc(-c4ccc(Br)cc4)cs3)C(c3ccc4c(c3)OCCO4)C2)cc1	597.33
Brc1ccc(C2=NN(c3nc(-c4ccc(Br)cc4)cs3)C(c3ccc4c(c3)OCO4)C2)cc1	583.30
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1	539.30
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1	411.31
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1	401.27
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1	417.34
Brc1ccc(CN2CCN(c3nc(-c4ccncc4)nc4sc5c(c34)CCCC5)CC2)cc1	520.50
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1	484.20
Brc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1Br	463.13
Brc1ccc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)cc1Br	463.13
Brc1ccc(CSc2nnc(Cn3nnc4ccccc43)o2)cc1	402.28
Brc1ccc(Cc2nnc(Cn3nnc4ccccc43)o2)cc1	370.21
Brc1ccc(Nc2nc(N3CCNCC3)nc3[nH]cnc23)cc1	374.25
Brc1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1	375.23
Brc1ccc(Nc2nc(N3CCOCC3)nc3c2ncn3C2CCCCO2)cc1	459.35
Brc1ccc(Nc2ncnc3sc4c(c23)CCCC4)cc1	360.28
Brc1ccc(Nc2ncnc3sc4c(c23)CCN(Cc2ccccc2)C4)cc1	451.39
Brc1ccc(Oc2cncc3sc(-c4nn[nH]n4)cc23)cc1	374.22
Brc1ccc2[nH]c3c(c2c1)CCN(CC(c1ccccc1)c1ccccc1)c1nccc(I)c1-3	620.33
Brc1ccc2[nH]c3c(ccc4cc[nH]c43)c2c1	285.14
Brc1ccc2[nH]c3cnccc3c2c1	247.09
Brc1ccc2c(c1)-c1nnc(-c3ccc(CN4CCC(c5nnc(-c6ccccn6)[nH]5)CC4)cc3)n1-c1cccnc1N2	631.54
Brc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1	313.16
Brc1ccc2nc(NCCc3c[nH]c4ccccc34)nc(Nc3ccc4[nH]ncc4c3)c2c1	498.39
Brc1ccc2nc3cc(Nc4ccccc4)ncn3c2c1	339.20
Brc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1	351.21
Brc1cccc(-c2cc(NCc3ccncc3)n3ncnc3n2)c1	381.24
Brc1cccc(-c2nnc(Cn3nnc4ccccc43)o2)c1	356.18
Brc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1	394.24
Brc1cccc(Br)c1Nc1nc2ccccc2n2cncc12	418.09
Brc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1	385.31
Brc1cccc(CN2CCN(c3nc(-c4ccncc4)nc4sc5c(c34)CCCC5)CC2)c1	520.50
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1.Cl	375.66
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1	339.20
Brc1cccc(Nc2nc3cc(-c4nnn[nH]4)ccc3c3sccc23)c1	423.30
Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1	332.23
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1	448.12
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1	369.22
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1	340.18
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1	340.18
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1	356.25
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1	357.24
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1	457.38
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1	443.35
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1	424.31
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1	410.28
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1	501.38
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1	438.33
Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1	340.18
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1	341.17
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1	327.19
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1	372.22
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1	358.20
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1	402.25
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1	446.30
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1	418.32
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1	344.17
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1	406.24
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1	467.37
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1	453.34
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1	340.18
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1	357.24
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1	456.35
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1	433.31
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1	434.30
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1	440.39
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1	491.39
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1	477.36
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1	463.34
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1	449.31
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1	340.18
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1	339.20
Brc1cccc(Nc2ncnc3ccccc23)c1	300.16
Brc1cccc(Nc2ncnc3cccnc23)c1	301.15
Brc1cccc(Nc2ncnc3ccncc23)c1	301.15
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1	457.38
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1	443.35
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1	424.31
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1	429.32
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1	410.28
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1	443.35
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1	424.31
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1	429.32
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1	430.31
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1	410.28
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1	421.30
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1	411.27
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1	407.28
Brc1cccc(Nc2ncnc3cnccc23)c1	301.15
Brc1cccc(Nc2ncnc3ncccc23)c1	301.15
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1	360.28
Brc1cccc(Nc2ncnc3sccc23)c1	306.19
Brc1cccc(Oc2ccc3c(/C=C/c4ccccc4)n[nH]c3c2)c1	391.27
Brc1cccc(Oc2ncnc3ccccc23)c1	301.14
Brc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1	390.29
Brc1cccc2[nH]c(-c3n[nH]c4cccnc34)cc12	313.16
Brc1cccc2[nH]ncc12	197.03
Brc1ccccc1Nc1nc2ccccc2n2cncc12	339.20
Brc1ccccc1Nc1ncc(Br)c(Nc2cc(C3CC3)n[nH]2)n1	450.14
Brc1ccccc1Nc1ncc2ccn(-c3ccccn3)c2n1	366.22
Brc1ccccc1Oc1nc2ccccc2n2cncc12	340.18
Brc1ccnc2[nH]ccc12	197.03
Brc1cnc(N2CCOCC2)nc1Nc1cc(C2CC2)[nH]n1	365.24
Brc1cnc(NC(c2ccccc2)c2ccccc2)nc1Nc1cc(C2CC2)[nH]n1	461.37
Brc1cnc(NC2CCCc3ccccc32)nc1Nc1cc(C2CC2)[nH]n1	425.33
Brc1cnc(NC2CCNCC2)nc1Nc1cc(C2CC2)[nH]n1	378.28
Brc1cnc(NC2CCc3ccccc32)nc1Nc1cc(C2CC2)[nH]n1	411.31
Brc1cnc(NCC2CCNCC2)nc1Nc1cc(C2CC2)n[nH]1	392.31
Brc1cnc(NCCCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1	413.32
Brc1cnc(NCCc2ccccn2)nc1Nc1cc(C2CC2)n[nH]1	400.28
Brc1cnc(NCCc2cccs2)nc1Nc1cc(C2CC2)n[nH]1	405.33
Brc1cnc(NCc2cc(-c3ccccc3)no2)nc1Nc1cc(C2CCCC2)n[nH]1	480.37
Brc1cnc(NCc2cc(C3CCCCC3)no2)nc1Nc1cc(C2CC2)[nH]n1	458.36
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1	385.27
Brc1cnc(NCc2ccccn2)nc1Nc1cc(C2CC2)n[nH]1	386.26
Brc1cnc(NCc2cccnc2)nc1Nc1cc(C2CC2)[nH]n1	386.26
Brc1cnc(NCc2ccco2)nc1Nc1cc(C2CC2)n[nH]1	375.23
Brc1cnc(NCc2ccncc2)nc1Nc1cc(C2CC2)[nH]n1	386.26
Brc1cnc(NCc2cnn(-c3ccccc3)n2)nc1Nc1cc(C2CC2)n[nH]1	452.32
Brc1cnc(Nc2ccc(C3CCNCC3)cc2)nc1NCC1CCCO1	432.37
Brc1cnc(Nc2ccc(N3CCNCC3)cc2)nc1NCC1CCCO1	433.35
Brc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCC1CCCO1	434.34
Brc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1cc(-c2ccco2)[nH]n1	482.34
Brc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1cc(C2CC2)n[nH]1	456.35
Brc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1ccc(CCN2CCCC2)cc1	523.48
Brc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1ccc(CCN2CCCCC2)cc1	537.51
Brc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1ccon1	417.27
Brc1cnc(Nc2ccc(N3CCOCC3)nc2)nc1Nc1cc(C2CC2)n[nH]1	457.34
Brc1cnc(Nc2ccc(OCCCN3CCOCC3)cc2)nc1Nc1cc(C2CC2)n[nH]1	514.43
Brc1cnc(Nc2ccc(Oc3cccnc3)cc2)nc1Nc1ccc2[nH]cnc2c1	474.32
Brc1cnc(Nc2ccc3[nH]ccc3c2)nc1Nc1cc(C2CC2)n[nH]1	410.28
Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1NC1CCCc2ccccc21	435.33
Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1NC1CCc2ccccc21	421.30
Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccc(Oc2cccnc2)cc1	474.32
Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccc2[nH]cnc2c1	421.26
Brc1cnc(Nc2ccc3c(c2)CCC3)nc1Nc1cc(C2CC2)[nH]n1	411.31
Brc1cnc(Nc2ccc3c(c2)OCCO3)nc1Nc1cc(C2CC2)n[nH]1	429.28
Brc1cnc(Nc2cccc3ccccc23)nc1Nc1cc(C2CC2)[nH]n1	421.30
